title,link
파이썬 숫자 출력하기_하루 10분 혼공,https://blog.naver.com/nasu0210?Redirect=Log&logNo=222105195536
[Python] 파이썬이 인기있는 이유,https://blog.naver.com/dktmrorl?Redirect=Log&logNo=222104270383
파이썬 웹 프로그래밍 Django로 입문,https://blog.naver.com/urmyver?Redirect=Log&logNo=222079389364
[P056] 파이썬의 정형화된 출력형식(Formatted Output of Python),https://blog.naver.com/choi_s_h?Redirect=Log&logNo=222103125184
알고리즘 트레이딩 - 파이썬을 활용한 금융 API 준비하는 방법은?,https://blog.naver.com/ridesafe?Redirect=Log&logNo=222069600885
[아두이노 QnA] 파이썬으로 아두이노 제어하기_2,https://blog.naver.com/dokkosam?Redirect=Log&logNo=222091055778
파이썬인강 프로그래밍 막막하셨다면,https://blog.naver.com/skyktc?Redirect=Log&logNo=222070357069
[책 구매 / 리뷰] 파이썬 알고리즘 인터뷰,https://blog.naver.com/dsz08082?Redirect=Log&logNo=222097605931
파이썬 인강 ☞ Python 기초 개념부터 배우기 초보자 특별 강좌,https://blog.naver.com/beta700?Redirect=Log&logNo=222091992623
파이썬독학 충분히 쉽다는 책,https://blog.naver.com/gogwangjin?Redirect=Log&logNo=222107477542
