,txt
2761,그래삶은 그 자체만으로도 의미가 있는거니까 
2762,인생영화 시리즈다 좆되네 
2763,내인생 최고의영화가 식스센스인데 도무지 식스센스를만든 감독이라고 믿기지않는 영화 최고의배우로 최악을만든 감독 
2764,이 영화를 점수 짜게 준 사람들은 전작 두편을 안 본 사람들임 두편 본 사람들은 개성 넘치는 작품이란걸 알듯 그런 감정을 못 느끼면 그냥 2시간 반 내내 때려부수는 트랜스포머아 보러가야됨 
2765,제임스 맥어보이 키도 170 밖에 안되는데 몸매 지렸다ㄷㄷ 멋있누 
2766,전형적인 신파다 근데 너무 억지 
2767,재미는있다 망향비빔국수 먹고싶네 
2768,내 평생 지리게 끝내주게 죽여주는 영화 세 손가락 더이상의 표현은 의미조차 없다 
2769,박평식ㅋㅋㅋㅋ대충 평론가평은 안좋을거라 예상은 했는데 ㅅㅂ여지없이 ㅋㅋㅋ 독설로 패버리네 ㅋㅋㅋ 오락영화가 별점3점은 괜찮은 영화라고 봄 그냥 유쾌함 형사물이라기보단 판타지물인데 두배우 케미가 에너지넘치고 재밌슴 
2770,완전 재밌어요 꼭 보세요 
2771,왜 10점이 아닌 지 이해할 수 없다 삶의 전환점이 된 영화 
2772,크리스틴 스튜어트 인정 
2773,일단 영화가 지루하고 재미는 없는데현재 독립영화계의 뇌구조가 좋아할 만한 모든 요소들을 보편적 사건들의 곳곳에 파편처럼 장치해서 찬사를 이끌어낸 느낌 메시지도 진부하고 플롯은 강아지한테 줘버렸고 절대적 평가로는 최악인데 눈물겨운 여성의 삶 심지어 어린 소녀이기 까지해서 f등급만 붙으면 그들만의 어머언니 화력지원으로 최고의 영화가 되는게 현재 전세계 영화계의 흐름인듯 여성 페미니즘 가부장 퀴어 재해 레트로 소녀 약자 우정 친구 일탈 성장통 죽음 이런거 그냥 바둑판 배열한 영화같다 
2774,딸이 살았으면 하는 인생을 내가 살아야 함을 깨닫게 하는 영화 
2775,마음따뜻해지는 영화 나도 세상을 변화시키는 단 한사람이되고싶다 
2776,보지 마세요 엉망진창 
2777,진짜 잘만들엇네 완전 놀랏다 
2778,다른건 다 괜춘인데 뜬금없이 나오는 비밀조직이건머 전세계를 조종하는 그런조직인가비밀조직이 완성도를 핵망하네잘가다 쓰잔대기없는전혀 이해관계가성립이 안됀다는실망 
2779,진짜노잼 대가리가 처박고 싶다 이런영화 올리지 마라알바생들 그만올려랴피랑스 영화 절때 안봄ㅅㄱ 
2781,이순신 당신이 있었기에 지금 우리나라가 있다는 겁니다 정말 감사합니다 
2782,아빠랑 같이 봤는데 너무 재미있게 봤고 여운이 남는 영화에요 잘봤습니다 
2783,바다에 있지만 바다에 없는 바다에 살고있지만 바다를 와서도 바다를 찾는 조 마치 나의 모습과 같았습니다무얼 해도 무덤덤하고 원하는거 새로운걸 해도 무덤덤해지는 요즘의 저의 모습들과 비슷했고 그에 대해 그냥 방치하고 무덤덤하게 무의식중에 우울하게 지냈습니다이영화를 통해 정말 많은걸 배워가요 감사합니다 
2784,모든 개별적인 인간의 소중함에 대해 
2786,전쟁으로 인한 아이들의 아픔은 잘 전달되고 아역 배우들의 연기는 좋다 하지만 전형적인 이야기와 예측 가능한 전개는 아쉽고 합창의 힘이 생각보다 약한 것은 단점이다 
2787,그 소년 좋은 남자가 되길 
2789,사랑하는 사람을 잃고 힘들어하는 가족의 심정은 배우들의 좋은 연기로 충분히 공감된다 하지만 정치적인 요소는 아예 제거해야 했고 후반부 신파는 과도해서 아쉽다 
2790,왜난재미있게본거지ㅜㅜ 왜난 초반부의 살짝 지루한 전개를 잘 버티니 중반부턴 시간가는줄 모르는 긴장과 스릴감을 맛볼 수 있었습니다ㅎ 별점보고 놀랐는데 저는 별점 5점은 충분히 줄 만큼 재미있게 봤습니다 주변에 추천하고 싶었는데 별점보니 호불호가 많이 갈리는 것 같아서 좀 망설여지지만ㅋㅋ 그래도 추천은 해봐야겠어요ㅋ 
2791,로봇 개를 표현한 cg 는 나쁘지 않고 로봇 개와 오토바이 액션은 그럭저럭 괜찮다 하지만 대부분의 요소들이 판에 박힌 듯 진부해서 결말까지 예측 가능하고 지루하다 
2792,닉슨 베트남한국대만 미군철수통보중국방문오키나와반환 구한말과 똑같은상황에서 유신선포하고 자주국방선언 유신후 한국이 일본영향에서 벗어나서 자립한거 박정희형 박상희 독립운동가 
2793,부작이 너무 짧아 아쉽다 
2794,yes or yes  
2795,영화적 연출력은 좋지 못하더라도 그 당시 독재정권의 끄나풀들이 얼마나 한 사람 그 이상의 사람들을 억압했는지 적당한 개그요소를 섞어서 보여주고 있다 독재의 끄나풀들과 잔재가 아직도 이 사회에 잔존하고 있기에 이 영화가 가치있다 
2796,간만에 본영화중 제일 재미있네요조진웅 연기가 일품 
2797,펭귄 덕분에 모든 것을 되찾은 남자 
2798,여태 본 최악의 좀비영화 
2799,조승우나온다기에 본건데 음전개나 이런거는 옛날 영화라 그런지 어설프긴했는데 평소 스릴러를 좋아해서 괜찮았다낙태 소재라는게 충격 조승우를 좋아해서 그란지 모르겠는데 끔찍한 범죄자지만 낙태의 고통을 표현한 최면마취를 조승우가 연기한거 보니까 으찌나 불쌍하던지ㅜㅜ사정이 있겠지만 아기들이 넘나 불쌍하다ㅜㅜ제발 살려줘요ㅜㅜ태어나도 고생이겠지만 살고싶다구요ㅜㅜ공동체가 아기들은 보살펴야된다 흑흑 어디서 봤는데 아이를 잘기르는것이 엄청난 나라부강의 효과가 있어서 나라에서도 상당부분을 보육에 복지투자한다고 한다 그리고 인지교육보단 감성교육 인성교육이 훨씬 크게 좋은 성과를 준다고 한다 이 영화를 통해 어른들이 그 부분을 생각하고 책임감있게 우리 아이들을 대해야될것같다ㅜㅜ 아무것도 모르는 생명체도 아픔을 알고 살고자하는데 좀더 책임있는 피임을 했으면 좋겠다ㅠㅠ 지진희 역할도 불쌍하다 안그래도 힘든 환경에서 태어난 아이가 2차피해자가 되는 세상의 현실 하아 그걸 지켜보고 자꾸 발생하는 피해자의 곁에서 해줄수있는게 없는 염정아도 불쌍하고 하아 악순환의 고리는 결국 한 아이를 불행하게 한데서 모두 시작된거 아닌가 나비효과다관계에 대해 작은 책임도 소홀히 하지말아야한다ㅜㅜ 
2800,부마시위는 10월23일부로 이미 종료된 상황 계엄군철수 통금환원등 김재규는 법정에서 거짓증언한거 심수봉이 인증 1978년 한국 미사일발사성공 일본반대암살 
2801,이 영화를 롤러코스터로 비유하자면 처음 30분은 지루하기 짝이없는 오르막이고 나머지 한 시간은 티익스프레스다 
2802,말이 필요없다 
2803,제목 버드박스에 굉장히 많은 의미가 내포되어있는 것 같아요ㅠㅠ 마지막에 도착한 곳 정말 감동이네요 
2804,평범한데 평범하지 않은 일상 블랙 코미디는 유아인이라는 ㅡ 총 천연색으로 빛나다 영상미는 도울 뿐 
2805,디즈니 x 픽사  언제나 옳다 
2806,진짜 요즘 저의 공허함이 채워지는 그런느낌을받은 영화였습니다 
2808,이 영화는 제 인생을 360도 바꾸어놓았습니다 
2809,저예산이라 거의 집안 내 장면만 나오는데도 스토리를 정교하게 잘 만들어 끝까지 긴장감있게 볼 수 있음 배우들의 연기 또한 극에 빠져들게 잘하고 연출도 좋아 삼박자가 완벽하게 잘 맞아떨어지는 질 높은 심리스릴러 
2810,부정한다해도 결국 사랑이었다는 것을 
2811,황정민 때문인지 한혜진 때문인지 그냥저냥 적당히 재밌게 본 영화 
2812,영화가 거지가타요 이게왜평점이 7점대인지 이해가안감 
2813,차인표 몸은 좋았다주름 많아서 너무 늙었단 생각곱게 계셨음 좋았을텐데 멋진 이미지 다 깨지고 너무 별로였다 내용도 딱히 없고 
2814,정말 몇번을 봐도 봐도 감동적이에요이런영화를 볼 수 있음에 감사할 뿐 입니다 
2815,2000년 작품 체크 포인트가 많음 불륜은 oo점에 불과하다 우선순위를 잡고 보시기 바랍니다 
2816,진짜 별로였어요 시간아까움 
2817,드디어 봤다 최고다 ㅠㅠ 
2818,공감과 웃음 충분하다 
2819,가히 명작이라 할 수 있는 영화 스토리 반전 작품성 시사하고자 하는 바 모두 갖추어진 영화 
2820,주인공은 이빨이나 좀 닦고 아프리카를 구했을까 세계 재배 꿈꾸는 졸부 나라가 유치하게 초딩도 아닌 것이 유치하게 이빨을 닦네 마네 어쩌고 저쩌고 ㅋ 
2821,애들 보려고 만든게 맞냐 
2822,평점 높은 이유를 모르겠음40분 봐도 내용 없이 진부하길래 영화 보기 포기 
2823,영화 족벌 두 신문이야기 한국인이라면 반드시 꼭 봐야할 영화다 조선일보와 동아일보의 모든 진실을 마주하게 될 것이다 
2824,현장감 넘치는 영화 재밌네요 
2825,너무너무재밋어요 강추함니다 
2826,미쳤어요걍보세요 아무생각없이 자기전에 틀었다가 눈물줄줄입니다연기랑 특히 영상미가 좋았어요 
2827,방구석1열에서 보고 보고싶어서 여기저기 찾다가 오늘 ocn에서 하는거 보게 되었는데제 인생 애니는 오늘부터 코코에요 ㅠㅜ영화에서 표현하는 의미를 알고보니 더 좋았어요 완벽히 이햐하지 못해서 또 볼거에요 꼭 보세요 
2829,신소율은 왜 
2830,아그냥 알고봐도 remember me는 울수 밖에 없네요속수무책으로 당합니다ㅠㅠ 정말 최고 인생영화입니다 
2832,경외감마저 드는 천재적인 명작 
2833,케빈  투명인간 개꿀이지 ㅋ 집에 들어온 투명인간 여러함정에 걸린후  ㅅㅂ 안해 
2834,유명하다는 배우들 다 데려다 썼는데도 캐스팅이 아쉬운 영화 
2835,너무 좋아요 인생의 의미를 다시 한번 돌아볼 수 있게하는 영화에요 
2837,사랑은 죽어서도 영원히 그 자리에 
2838,단순한 스릴러영화인지 알았는데 막상보고나니 신선하고 도전적이었던 미스터리 스릴러 영화 김남길 하정우 배우님 연기 역시 멋있었다 무엇보다 아이들에게 상처받지 않게 우리들이 잘해야겠다 라는 생각이 깊게 드는 여운깊은 영화 
2839,진짜 재밌었다 내 예상을 뛰어넘는 이야기 전개와 연출 방식에 깜짝 놀라기도 했고 결말까지 깔끔해서 좋았다 배우들 연기랑 음악도 훌륭하고 흥미진진한 추리소설 한 편이 눈 앞에서 생생하게 펼쳐지는 느낌을 원하는 사람에겐 강력추천 ㅎㅎ 
2840,내내 울면서 봤어요 길이 남을 예술작품이네요 
2841,내 인생영화네요 세상이 다 날 버려도 굴하지 않고 가리라 마음먹게 했던 영화 
2842,내게 놓인 이 순간을 잘 누리며 살아가야겠다구 느꼇음 ㅠㅠ 개인적으로 눈이부시게 김혜자씨의 마지막 대사가 생각났어요내삶은때로는 불행했고때론 행복했습니다삶이 한낱 꿈에 불과하다 하지만그럼에도 살아서 좋았습니다새벽에 쨍한 차가운 공기꽃이 피기전 부는 달큰한 바람해질무렵 우러나는 노을의 냄새어느하루눈부시지 않은 날이 없었습니다 
2843,킬링타임용으로 괜찮다 흥미롭게 봤음 
2844,폭군에게 죽음을mort aux tyrans 안타까운 스토리 사디즘을 이렇게 낭비할 거면 엉덩이 딱 대 사디즘에 맞게 회초리로 때려 드릴 테니 아멜리아 워너 리즈시절 
2845,배경 설명이 부족하고 지구에서의 이야기 우주에서의 이야기 양쪽 다 큰 스토리텔링 없이 어두운 분위기로만 전개해서 지루했다 흥미롭지만 정교하지 않은 인터넷 썰을 영화로 보는 것 같았다 
2846,당연했던 일상을 값진순간들로 채워주는 마법같은 작품 
2847,운명을 바꿀 수는 없다는 것을 아는 우리는 그렇기에 어떻게 살아가야 하는 지도 알고 있다 
2848,뭘 말하고 싶은지잘 모르겠음 
2850,내용이 뻔하다 
2851,영상미가 너무 좋았습니다 
2852,내용은 좋은데 선동이 노골적이네 경찰은 깨끗하고 검찰은 썩었다 
2853,핵심 인물인 철학 교수의 주장은 거의 없었다는 점이 아쉬워요 일방적으로 기독교에게 유리한 주장만 나열한 느낌이 들어요 
2854,이런 영화가 자주 나와서 옛 부조리에 대한 국민 의식이 바뀌었음 합니다 
2855,쩔었다 보통의 영화가 아니다 와 긴장감 엄청나다 극장에서 봤어야 했었어 
2856,같이해서 더 좋았던 장소였기때문에 눈부신거 아닐까 헤어진 애인이 생각나는 영화인거 같다잔디밭에서 신나게 춤추며 아무 생각 안하고 즐기는 모습이 좋았다 나도 모든 걱정 다 내려놓고 눈부신 장소에서 눈부신 내가 되길 바란다 
2857,정말 꼭 보시길 추천 드립니다모두에게 너무나 필요한 내용인거같아요우리 모두 신랑을 기쁘게 기다리고 준비하는신부가 되길 기도합니다 
2858,참 안타까운 영화 
2859,내 인생을 그리고 어제도 다시 되돌아보게되는 그런하루 
2860,밥은 굶어도 이 영화는 꼭봐라 
2861,크게 재밌지도 와 닿지도 슬프지도 않은 애매한 영화에요 중간에 지루하기도 하고요 
2862,영화를 보는게 아니라 시종일관 내 안을 들여다 보고 있었다 
2863,무서워서 소리끄고 봤음대게는 눈 감고 보는데 
2864,영상연기연출배우 
2865,완벽한영화 
2866,체스 잘 두는 신동 파힘의 이야기 아버지랑 프랑스까지 가서 체스 우승하기까지 여정을 담은 감동 실화 영화 마지막에 실존 인물 사진으로 나올때 감동이 두배 
2867,ocn에서 하길래 네번째로 봤는데도 몰입해서 봤네요 이 영화가 안 맞는 사람은 모든 픽사 및 디즈니 애니메이션이 안 맞지 않을까 싶은데요 
2868,아 진짜 인생영화입니다 꼭 보세요  
2869,처음부터 끝날 때 까지 긴장감과 불안감이 나를 쫓았다 나무열쇠로 극적 탈출을 할 수 있을까 실화라는데 보는 순간 동안에는 탈출 못 할줄 알았다 그냥 실화 아니라도 스펙터클할텐데 실화라는게 믿을 수가 없다 최근 본 영화 중에 최고이다 머리속에서 한동안 나무 열쇠가 잊혀지지가 않을 것 같다 
2870,엔딩크레딧이 올라가고 끝나고 뭐먹지 생각하다가 갑자기 눈물이 터져버렸다 
2871,그대여 볼지 말지 고민중이라면 고민없이 볼 것을 추천드립니다 
2872,그냥 킬링타임용 영화 
2873,스토리가 좀 뻔한 신파극이지만지루함없이 봤네요 김석훈 넘 짧은 카메오 출연인데 기억에남네요 
2875,엄청 슬프고 기억에 많이 남아서 어렸을 때 봤는데 중학생이 되고도 계속 기억에 남았어요 
2878,ㄹㅇ 수천번 보는중ㅋㅋㅋㅋㅋㅋㅋ첨엔 스토리 보다가 원빈미모에 취했다 
2879,잔잔한 감동 하루 하루 무의미 하게 지내는 어른들에게 주는 작은 선물같은 영화 
2882,살다살다 이렇게 배드신이 어설픈 영화는 처음봤다 
2883,단순히 작품 하나 완성 시키는 데에만 집중한 듯 
2884,김병철 조현철 숨어다니는 씬 진짜 대박 웃김 ㅎ 
2885,가볍게보기엔 다들 연기를 잘합니다 
2886,정말 잘만들었다 
2887,사랑을 갈구하는 평범한 중년남자이자 세상 스윗한 알 파치노를 볼 수 있는 거의 유일한 영화다 화려하거나 드라마틱한 요소없이 담백하고도 진솔한 사랑 영화 
2888,괜찮은데 감동적이고 좋은데왜케 다들 별로라하지 
2889,마음이 따뜻해지는 명작이네요 ㅎㅎ 
