Date,Open,High,Low,Close,Volume
2016-02-26,1180000,1187000,1172000,1172000,176906
2016-02-25,1172000,1187000,1172000,1179000,128321
2016-02-24,1178000,1179000,1161000,1172000,140407
2016-02-23,1179000,1189000,1173000,1181000,147578
2016-02-22,1190000,1192000,1166000,1175000,174075
2016-02-19,1187000,1195000,1174000,1190000,175889
2016-02-18,1203000,1203000,1178000,1187000,211795
2016-02-17,1179000,1201000,1169000,1185000,245929
2016-02-16,1158000,1179000,1157000,1168000,179087
2016-02-15,1154000,1160000,1144000,1154000,182471
2016-02-12,1130000,1151000,1122000,1130000,254115
2016-02-11,1118000,1137000,1118000,1130000,304899
2016-02-05,1156000,1169000,1156000,1164000,183280
2016-02-04,1150000,1161000,1148000,1156000,236429
2016-02-03,1150000,1152000,1137000,1146000,174381
2016-02-02,1161000,1166000,1147000,1156000,165420
2016-02-01,1152000,1163000,1151000,1163000,258194
2016-01-29,1140000,1150000,1116000,1150000,426238
2016-01-28,1164000,1168000,1139000,1145000,314154
2016-01-27,1126000,1175000,1126000,1175000,273707
2016-01-26,1155000,1157000,1136000,1137000,151638
2016-01-25,1172000,1176000,1156000,1162000,159769
2016-01-22,1145000,1168000,1145000,1168000,146591
2016-01-21,1133000,1155000,1125000,1131000,181968
2016-01-20,1160000,1160000,1132000,1138000,165796
2016-01-19,1128000,1171000,1128000,1171000,205804
2016-01-18,1088000,1133000,1088000,1126000,320007
2016-01-15,1140000,1152000,1124000,1132000,208712
2016-01-14,1131000,1142000,1131000,1138000,207140
2016-01-13,1153000,1159000,1148000,1148000,142672
2016-01-12,1148000,1166000,1144000,1146000,184311
2016-01-11,1156000,1166000,1146000,1152000,239778
2016-01-08,1163000,1186000,1163000,1171000,244350
2016-01-07,1166000,1183000,1151000,1163000,268857
2016-01-06,1208000,1208000,1168000,1175000,359895
2016-01-05,1202000,1218000,1186000,1208000,207947
2016-01-04,1260000,1260000,1205000,1205000,304050
2015-12-30,1260000,1272000,1254000,1260000,203349
2015-12-29,1265000,1266000,1241000,1254000,231802
2015-12-28,1285000,1289000,1266000,1266000,225997
2015-12-24,1295000,1300000,1285000,1285000,151322
2015-12-23,1292000,1299000,1282000,1295000,162043
2015-12-22,1280000,1292000,1267000,1292000,203938
2015-12-21,1278000,1285000,1261000,1280000,157354
2015-12-18,1265000,1288000,1264000,1278000,167721
2015-12-17,1301000,1308000,1275000,1290000,167390
2015-12-16,1278000,1310000,1278000,1299000,207688
2015-12-15,1261000,1280000,1260000,1277000,175253
2015-12-14,1273000,1273000,1255000,1261000,222512
2015-12-11,1283000,1295000,1272000,1284000,204812
2015-12-10,1263000,1293000,1263000,1283000,302978
2015-12-09,1262000,1275000,1262000,1263000,181328
2015-12-08,1262000,1272000,1262000,1262000,133328
2015-12-07,1269000,1275000,1262000,1262000,195237
2015-12-04,1275000,1280000,1267000,1269000,189638
2015-12-03,1295000,1297000,1286000,1290000,166359
2015-12-02,1321000,1322000,1294000,1300000,226795
2015-12-01,1294000,1322000,1288000,1321000,234107
2015-11-30,1325000,1325000,1284000,1284000,515530
2015-11-27,1345000,1349000,1327000,1327000,169669
2015-11-26,1299000,1340000,1299000,1335000,181523
2015-11-25,1300000,1310000,1299000,1299000,142575
2015-11-24,1282000,1305000,1282000,1299000,152433
2015-11-23,1285000,1302000,1281000,1282000,197422
2015-11-20,1289000,1296000,1278000,1285000,168704
2015-11-19,1290000,1290000,1271000,1289000,189902
2015-11-18,1272000,1290000,1272000,1281000,167268
2015-11-17,1275000,1290000,1270000,1270000,185552
2015-11-16,1291000,1291000,1263000,1263000,182835
2015-11-13,1317000,1317000,1300000,1300000,177420
2015-11-12,1333000,1334000,1317000,1317000,155706
2015-11-11,1321000,1345000,1321000,1333000,140397
2015-11-10,1336000,1341000,1314000,1321000,197158
2015-11-09,1338000,1344000,1321000,1344000,185338
2015-11-06,1343000,1348000,1330000,1338000,157598
2015-11-05,1330000,1354000,1330000,1342000,172775
2015-11-04,1352000,1361000,1326000,1330000,277186
2015-11-03,1381000,1381000,1350000,1352000,297175
2015-11-02,1385000,1393000,1374000,1383000,365104
2015-10-30,1345000,1390000,1341000,1372000,498776
2015-10-29,1330000,1392000,1324000,1325000,622336
2015-10-28,1294000,1308000,1291000,1308000,257374
2015-10-27,1282000,1299000,1281000,1298000,131144
2015-10-26,1298000,1298000,1272000,1292000,151996
2015-10-23,1300000,1300000,1278000,1289000,252105
2015-10-22,1280000,1295000,1269000,1280000,229326
2015-10-21,1265000,1282000,1259000,1270000,138655
2015-10-20,1260000,1273000,1256000,1266000,137788
2015-10-19,1257000,1265000,1249000,1256000,116290
2015-10-16,1265000,1269000,1259000,1265000,141898
2015-10-15,1244000,1282000,1243000,1269000,243476
2015-10-14,1248000,1260000,1237000,1254000,174719
2015-10-13,1260000,1272000,1248000,1252000,195273
2015-10-12,1260000,1263000,1247000,1260000,301807
2015-10-08,1250000,1279000,1250000,1270000,500566
2015-10-07,1198000,1252000,1186000,1251000,795678
2015-10-06,1130000,1155000,1127000,1151000,371835
2015-10-05,1119000,1131000,1115000,1115000,210583
2015-10-02,1112000,1133000,1112000,1119000,247859
2015-10-01,1140000,1145000,1121000,1134000,229173
2015-09-30,1100000,1134000,1090000,1134000,354069
2015-09-25,1120000,1125000,1109000,1112000,187315
2015-09-24,1126000,1135000,1125000,1126000,131384
2015-09-23,1144000,1144000,1125000,1131000,195174
2015-09-22,1143000,1150000,1130000,1145000,246705
2015-09-21,1163000,1173000,1150000,1150000,196809
2015-09-18,1145000,1192000,1135000,1190000,421097
2015-09-17,1153000,1157000,1144000,1157000,253091
2015-09-16,1121000,1157000,1121000,1152000,338783
2015-09-15,1114000,1128000,1113000,1123000,212880
2015-09-14,1120000,1124000,1110000,1124000,164129
2015-09-11,1126000,1133000,1115000,1115000,201720
2015-09-10,1130000,1139000,1118000,1134000,356879
2015-09-09,1146000,1147000,1136000,1147000,235189
2015-09-08,1113000,1136000,1106000,1131000,181352
2015-09-07,1129000,1129000,1105000,1112000,190922
2015-09-04,1144000,1144000,1118000,1129000,249642
2015-09-03,1102000,1123000,1093000,1122000,303343
2015-09-02,1069000,1095000,1065000,1090000,312121
2015-09-01,1089000,1098000,1081000,1085000,237062
2015-08-31,1071000,1089000,1052000,1089000,406006
2015-08-28,1086000,1086000,1073000,1081000,458340
2015-08-27,1082000,1086000,1063000,1067000,491893
2015-08-26,1068000,1074000,1050000,1067000,552568
2015-08-25,1079000,1107000,1067000,1079000,389313
2015-08-24,1088000,1115000,1033000,1079000,445868
2015-08-21,1099000,1128000,1096000,1101000,405850
2015-08-20,1163000,1171000,1130000,1139000,215507
2015-08-19,1169000,1176000,1141000,1154000,400088
2015-08-18,1118000,1141000,1117000,1131000,223321
2015-08-17,1140000,1141000,1104000,1104000,225734
2015-08-13,1153000,1153000,1138000,1140000,149454
2015-08-12,1150000,1164000,1140000,1154000,222497
2015-08-11,1151000,1179000,1148000,1157000,228498
2015-08-10,1140000,1142000,1130000,1141000,114013
