,방송일시,상품명,상품군,lightGBM_pred,DNN_pred,Voting_pred
0,2020-06-01 6:20,잭필드 남성  반팔셔츠 4종,의류,13700784.27,16084803,14892793.64
1,2020-06-01 6:40,잭필드 남성  반팔셔츠 4종,의류,21676099.85,22039650,21857874.93
2,2020-06-01 7:00,잭필드 남성  반팔셔츠 4종,의류,25735817.83,24183690,24959753.91
3,2020-06-01 7:20,쿠미투니카 쿨 레이시 란쥬쉐이퍼&팬티,속옷,16681020.58,17830196,17255608.29
4,2020-06-01 7:40,쿠미투니카 쿨 레이시 란쥬쉐이퍼&팬티,속옷,27427455.99,23805176,25616316
5,2020-06-01 8:00,쿠미투니카 쿨 레이시 란쥬쉐이퍼&팬티,속옷,28614688.67,25008464,26811576.34
6,2020-06-01 8:20,바비리스 퍼펙트 볼륨스타일러,이미용,5858580.12,6278321.5,6068450.81
7,2020-06-01 8:40,바비리스 퍼펙트 볼륨스타일러,이미용,11756793.51,8475411,10116102.25
8,2020-06-01 9:00,바비리스 퍼펙트 볼륨스타일러,이미용,13629961.68,12310330,12970145.84
9,2020-06-01 9:20,램프쿡 자동회전냄비,주방,24870719.32,33594920,29232819.66
10,2020-06-01 9:40,램프쿡 자동회전냄비,주방,52261612.58,46574908,49418260.29
11,2020-06-01 10:00,램프쿡 자동회전냄비,주방,48188306.5,53201940,50695123.25
12,2020-06-01 10:20,벨레즈온 심리스 원피스 4종 패키지,속옷,19834298.5,18785978,19310138.25
13,2020-06-01 10:40,벨레즈온 심리스 원피스 4종 패키지,속옷,32702252.38,25036714,28869483.19
14,2020-06-01 11:00,벨레즈온 심리스 원피스 4종 패키지,속옷,30490137.06,29691068,30090602.53
15,2020-06-01 11:20,AAC 삼채포기김치 10kg,농수축,25432404.53,25380698,25406551.26
16,2020-06-01 11:40,AAC 삼채포기김치 10kg,농수축,41425001.73,32941934,37183467.86
17,2020-06-01 12:00,AAC 삼채포기김치 10kg,농수축,41091826.8,30441222,35766524.4
18,2020-06-01 12:20,아키 라이크라 릴렉스 보정브라 패키지(뉴아키28차),속옷,17256767.11,16735977,16996372.05
19,2020-06-01 12:40,아키 라이크라 릴렉스 보정브라 패키지(뉴아키28차),속옷,29696804.5,22039102,25867953.25
20,2020-06-01 13:00,아키 라이크라 릴렉스 보정브라 패키지(뉴아키28차),속옷,30919647.63,27657020,29288333.82
21,2020-06-01 15:20,에이유플러스 슈퍼선스틱 1004(최저가),이미용,10964022.02,12271910,11617966.01
22,2020-06-01 15:40,에이유플러스 슈퍼선스틱 1004(최저가),이미용,22579463.3,16243981,19411722.15
23,2020-06-01 16:00,에이유플러스 슈퍼선스틱 1004(최저가),이미용,20140396.64,19192114,19666255.32
24,2020-06-01 16:20,[기간]제주바다자연산돔39마리,농수축,14188519.65,15382971,14785745.33
25,2020-06-01 16:40,[기간]제주바다자연산돔39마리,농수축,22331587.07,20107824,21219705.53
26,2020-06-01 17:00,[기간]제주바다자연산돔39마리,농수축,20970388.41,21462606,21216497.2
27,2020-06-01 17:20,한라궁 황칠 제주오메기떡 40개 (60g * 40봉),농수축,12805955.06,13156156,12981055.53
28,2020-06-01 17:20,한라궁 황칠 제주오메기떡 2종 40개 (호박오메기20봉+팥오메기20봉),농수축,12805955.06,13156156,12981055.53
29,2020-06-01 17:40,한라궁 황칠 제주오메기떡 40개 (60g * 40봉),농수축,14810949.41,13638460,14224704.71
30,2020-06-01 17:40,한라궁 황칠 제주오메기떡 2종 40개 (호박오메기20봉+팥오메기20봉),농수축,14810949.41,13638460,14224704.71
31,2020-06-01 18:00,한라궁 황칠 제주오메기떡 40개 (60g * 40봉),농수축,11992177.35,10797137,11394657.18
32,2020-06-01 18:00,한라궁 황칠 제주오메기떡 2종 40개 (호박오메기20봉+팥오메기20봉),농수축,11992177.35,10797137,11394657.18
33,2020-06-01 18:20,LG전자 통돌이 세탁기 TR14WK1(화이트),가전,35561301.36,35364628,35462964.68
34,2020-06-01 18:40,LG전자 통돌이 세탁기 TR14WK1(화이트),가전,56791398.5,46682496,51736947.25
35,2020-06-01 19:00,LG전자 통돌이 세탁기 TR14WK1(화이트),가전,53013001.67,54489080,53751040.83
36,2020-06-01 19:20,코몽트 남성 티셔츠 8종(시즌1),의류,32696990.95,32376714,32536852.47
37,2020-06-01 19:40,코몽트 남성 티셔츠 8종(시즌1),의류,57144390.47,41028320,49086355.23
38,2020-06-01 20:00,코몽트 남성 티셔츠 8종(시즌1),의류,46401659.08,44473836,45437747.54
39,2020-06-01 20:20,파격가 노비타 스마트 비데 무료설치(변기세정제),생활용품,20617490.01,18819564,19718527.01
40,2020-06-01 20:40,파격가 노비타 스마트 비데 무료설치(변기세정제),생활용품,42695149.26,25588516,34141832.63
41,2020-06-01 21:00,파격가 노비타 스마트 비데 무료설치(변기세정제),생활용품,43528773.32,29292230,36410501.66
42,2020-06-01 21:20,LG 울트라HD TV AI ThinQ(인공지능 씽큐) 55형 55UN7850KNA,가전,6261161.204,5475680.5,5868420.852
43,2020-06-01 21:20,LG 울트라HD TV AI ThinQ(인공지능 씽큐) 65형 65UN7850KNA,가전,6450278.725,5469328,5959803.363
44,2020-06-01 21:20,LG 울트라HD TV AI ThinQ(인공지능 씽큐) 75형 75UN7850KNA,가전,6761887.278,5456145.5,6109016.389
45,2020-06-01 21:40,LG 울트라HD TV AI ThinQ(인공지능 씽큐) 55형 55UN7850KNA,가전,8511107.507,5782595,7146851.253
46,2020-06-01 21:40,LG 울트라HD TV AI ThinQ(인공지능 씽큐) 65형 65UN7850KNA,가전,8682846.662,5888004,7285425.331
47,2020-06-01 21:40,LG 울트라HD TV AI ThinQ(인공지능 씽큐) 75형 75UN7850KNA,가전,9362575.527,5922834.5,7642705.014
48,2020-06-01 22:00,LG 울트라HD TV AI ThinQ(인공지능 씽큐) 55형 55UN7850KNA,가전,5518443.827,5249492.5,5383968.163
49,2020-06-01 22:00,LG 울트라HD TV AI ThinQ(인공지능 씽큐) 65형 65UN7850KNA,가전,5699749.344,5244445,5472097.172
50,2020-06-01 22:00,LG 울트라HD TV AI ThinQ(인공지능 씽큐) 75형 75UN7850KNA,가전,6307745.136,5245370.5,5776557.818
51,2020-06-01 22:20,보루네오 델루나 유로탑 슬라이딩 LED침대 슈퍼싱글,가구,9383480.005,9817406,9600443.002
52,2020-06-01 22:20,보루네오 델루나 유로탑 슬라이딩 LED침대 퀸,가구,9347338.917,9819195,9583266.959
53,2020-06-01 22:20,보루네오 델루나 유로탑 슬라이딩 LED침대 킹,가구,9531159.853,9820882,9676020.926
54,2020-06-01 22:40,보루네오 델루나 유로탑 슬라이딩 LED침대 슈퍼싱글,가구,11119704.52,10948628,11034166.26
55,2020-06-01 22:40,보루네오 델루나 유로탑 슬라이딩 LED침대 퀸,가구,11078459.61,10949366,11013912.8
56,2020-06-01 22:40,보루네오 델루나 유로탑 슬라이딩 LED침대 킹,가구,11288192.32,10949986,11119089.16
57,2020-06-01 23:00,보루네오 델루나 유로탑 슬라이딩 LED침대 슈퍼싱글,가구,8334025.054,8844102,8589063.527
58,2020-06-01 23:00,보루네오 델루나 유로탑 슬라이딩 LED침대 퀸,가구,8290150.242,8847741,8568945.621
59,2020-06-01 23:00,보루네오 델루나 유로탑 슬라이딩 LED침대 킹,가구,8457622.129,8851281,8654451.564
60,2020-06-01 23:20,올바로 문어발 샤워기 1+1,생활용품,12150779.51,10758839,11454809.26
61,2020-06-01 23:20,올바로 문어발 샤워기 1세트,생활용품,5123941.769,4914027,5018984.385
62,2020-06-01 23:40,올바로 문어발 샤워기 1+1,생활용품,18077227.61,14655684,16366455.8
63,2020-06-01 23:40,올바로 문어발 샤워기 1세트,생활용품,9335365.877,6945988.5,8140677.188
64,2020-06-02 0:00,올바로 문어발 샤워기 1+1,생활용품,12258884.82,9579412,10919148.41
65,2020-06-02 0:00,올바로 문어발 샤워기 1세트,생활용품,5316901.084,4346561,4831731.042
66,2020-06-02 1:20,소노비 줄리엣 소가죽 토트백 1종+투숄더 버킷백 1종,잡화,9586566.87,10931729,10259147.93
67,2020-06-02 1:40,소노비 줄리엣 소가죽 토트백 1종+투숄더 버킷백 1종,잡화,13988674.78,13308661,13648667.89
68,2020-06-02 2:00,소노비 줄리엣 소가죽 토트백 1종+투숄더 버킷백 1종,잡화,16910559.24,18710926,17810742.62
69,2020-06-02 6:20,오델로 여성 모자 3종,잡화,14099484,15105301,14602392.5
70,2020-06-02 6:40,오델로 여성 모자 3종,잡화,20934851.43,19821146,20377998.71
71,2020-06-02 7:00,오델로 여성 모자 3종,잡화,23607045.18,24917990,24262517.59
72,2020-06-02 7:20,한일 대용량 레드 스텐 분쇄믹서기,주방,22028886.06,21936688,21982787.03
73,2020-06-02 7:50,한일 대용량 레드 스텐 분쇄믹서기,주방,32385055.89,28748646,30566850.95
74,2020-06-02 8:20,더블모 어성초 샴푸,이미용,19382221.3,17963222,18672721.65
75,2020-06-02 8:40,더블모 어성초 샴푸,이미용,32068202.88,24272206,28170204.44
76,2020-06-02 9:00,더블모 어성초 샴푸,이미용,30601575.87,33995008,32298291.93
77,2020-06-02 9:20,마르엘라로사티 린넨 베스트 세트[3월],의류,19529765.14,17686488,18608126.57
78,2020-06-02 9:40,마르엘라로사티 린넨 베스트 세트[3월],의류,28888070.35,22866894,25877482.18
79,2020-06-02 10:00,마르엘라로사티 린넨 베스트 세트[3월],의류,25230282.81,24195444,24712863.41
80,2020-06-02 10:20,자연감성 풍기인견 여성란쥬세트,속옷,16150787.42,14582136,15366461.71
81,2020-06-02 10:40,자연감성 풍기인견 여성란쥬세트,속옷,26411277.59,19042880,22727078.8
82,2020-06-02 11:00,자연감성 풍기인견 여성란쥬세트,속옷,25156726.52,22531400,23844063.26
83,2020-06-02 11:20,전철우냉면25인분,농수축,26307280.51,25031234,25669257.25
84,2020-06-02 11:40,전철우냉면25인분,농수축,40563827.02,32017168,36290497.51
85,2020-06-02 12:00,전철우냉면25인분,농수축,38029677.19,34080744,36055210.59
