,댓글
0,근거는?ㅁㅈㅎ 무라
1,@안티소셜디솔더 한글덜배운 조섡ㆍ디
2,병신문재앙
3,"@kixx 의도적인 거지 ㅉㅉ
중공바이러스 계엄령이 존나 좋거든 ㅅㅂ"
4,"야이새끼야 중국형님들 백신팔아드려야되는데
화이자 미제 앞잡이 새끼들 백신회사껄 팔아주겠냐?
잔말 말고 중국백신 처맞고 안락사들 당해라"
5,우리에겐 신풍제약 파라믹스와 제넥신이 있다.문재앙 보유국
6,"화이자 공장 중국에 있는거다

믿지마라

경고했다"
7,문재앙 보유국 든든하다 이기야
8,이것도가져오든말든 안맞을거라ㅁㅈㅎ
9,"조선시대에 중국에 공물 공녀 바치듯
재앙 조선왕이 중국산 백신 수천만개에 남조선 백성들 바치려함"
10,쌍화탕이나마셔야지시발
11,뜨끈한 김치찌개에 소주면 무적이다 이기
12,짱개가 만든 시노백 같은거 쳐 맞아라 하겠지
13,"문재앙이 뽑은 새끼들은 짱개백신이나 맞아라
죽으면 팔자려니 해야지 병신들"
14,"발갱이 재앙이한텐 현재 중공바이러스 계엄상태가 제일 좋은거야 ㅉㅉ

시위도 안돼, 자기들한테 적대적인건 표적방역,마녀사냥,,

독재포악정권한텐 우한폐렴은 더할나위 없이 좋은거야 ㅅㅂ

개돼지들 죽어나가봤자 누가 신경쓰나 ㅉㅉ

그 나라의 정부는 딱 그나라 국민수준에 수렴한다 이기야 ㅋ"
15,좋은글이다 잘읽었다 ㅇㅂ
16,앵커가 마피아 같냐
17,@태극기요원 앵커가 저래야 위에서 멋대로 지시 못하고 자기주장 펼칠듯
18,ㅇㅂ
19,@익명088f05 공부못하는아이
20,@익명088f05 https://youtu.be/TbcBRzDLF_s
21,양키고홈
22,
23,@용호와의증인 짬뽕먹고싶다
24,@용호와의증인 사람이빨이냐?
25,폼페이오 몇 년 전에 장관 되고 나서도 CIA 시절에 개인적으로 구축한 커넥션이랑 휴민트 이용한다는 소문 계속 돌아서 트럼프도 쉽게 못건드린다는 말이 많던데..폼페이오가 대놓고 이러는거 보면 진짜 큰거 수십방 날릴게 있는건가?
26,@갈비개굴꺄팡덮밥 풀영상보면 표정이 자신에 차고 살짝 같잖타는듯이 웃기도 하고 먼가 다 알고있다는 느낌이 강하긴하더라
27,ㄹㅇ 폼페이오 잘 모르는데 걍 관상만 봐도 좆든든하고 멋있다 ㅋㅋㅋ
28,짱깨가 잘못했네
29,"3. 중국 너넨 줄안서도 뒤진다ㅋㅋ

막타베 ㅋ"
30,"한하늘에 두개의 태양이 뜰수없다

자웅을 겨루겠노"
31,"트럼프따위가 아니라
폼페이오가 대통령감인데"
32,"@문슬람척결 실질적으로 폼페이오가 거의주도하겠지 경력이나 스펙만 봐도

트럼프야 부동산업자 하다가 리얼리티 쇼나와서 스타되고 공화당에서 밀어준거고"
33,3번이 와닫네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
34,문재앙 병신새끼는 공산당에 중국몽운운하며 바이든한테 꼬리흔들어재꼈는데 시발 나라조지는거 일등
35,@고추맘마 조선인이 조선 한 것뿐. 5000년 조선사에서 줄 잘 섰던 적이 몇 번?
36,제발 트럼프 당선되서 짱깨 바퀴벌레 새끼들 박멸좀
37,@잃을께없는놈 걱정 마라 곧 박멸된다
38,"미국 분위기는 완전히 트럼프 승리더라
최종 대법원까지 가면"
39,ㅋㅋ 마지막멘트 맘에드노 ㅇㅂ ~
40,@코슷코소고기 ㅋㅋㅋㅋㅋㅋㅋㅋ 뭐야이거
41,"누가봐도 짱께는 이미 끝이지.
뭐 아직도 제조2025니 언제면 미국의 군사력을
추월한다며 헛소리하면...
그건 그냥 죽기전의 주접."
42,제발 짱깨새끼들 전부 죽여주세요~
43,무당새끼도 아니고 표정보고 확신 ㄷㄷ
44,@빼루빼루 무당맞음
45,줄서도 뒤진다가 맞잔아.
46,@해충박멸노가다꾼 좋은지적이다..ㅋ나도 쓰고보니 이상하더라
47,폼페이오 짱이네
48,전직 cia 국장이었던 폼페이오가 헛다리 잡을리가 없지
49,호랑이선생님 닮음
50,헐 우리나라는 바이든에 줄섰는데 좃뎃노
51,@문재인호형호제 조선이 좆 안 됐었던 적이라도...^^
52,합성주작 ㅋㅋㅋ 누가보면 진짜 뉴스인줄
53,@자매님 느금 씹물 들이키는 소리하고 자빠졌네. 씹년아 내 자지나 빨아라
54,뭉가는 이미 바이든 밑구녕 빨고있다
55,"문재인 좆병신새끼가 지 마음대로 바이든 한테 줄섬ㅋㅋㅋ
한국인들 의견은 개 좆도 상관안함ㅋㅋㅋ"
56,호랑이선생님 조경환아재 살아돌아오신거 같노
57,영상 링크좀
58,"제발 짱깨좀 박살내주세요
만주진출 합시다"
59,이곳에 와있다 라기보단 이미 들어와있다가 낫겠다
60,"https://youtu.be/TbcBRzDLF_s
요약 잘함
일베줌"
61,"surely he knows much better than 99.9% of ignorant public, doesnt he?
look at the confidence on his face
that tells everything cos people won't show that much of confidence unless they are undoubtedly certain about something"
62,솔직히 관상으로만 보면 트럼프보다도 폼페이오가 거부나 대통령할 관상임 코나 이마
63,트럼프 병신이 중국을 확실히 안조져 놓으니까 이런 사태 벌어지지 시발
64,@좃까이캐슬 4년은 너무 짧지 않니 게이야
65,"크 얼굴보고 이제 계획까지 파악하는 관심법을 쓰노? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 틀딱 진짜 답없다.
언제 일베가 이렇게 논리 따위는 개나 줘먹고 짱깨 홍위병 같은 짓만 하냐"
66,문재인 좆됨
