,댓글,출처
75105,이판국에 저런거 할 여유가,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75106,펜앤마이크 특종 기사인데 한 매체라고 하네,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75107,응 가짜뉴스야 ㅄ아,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75108,이재용 구치소썰 보면 존나 쿨가이던데ㅋㅋㅋ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75109,"와 이딴게 일베오네 ㄷㄷ 설마 진짜 이딴이야기를 믿냐
친구먹자는 이야기를 믿냐 ㅉㅉ교도소 구치소 생활 해본 사람은 ㅈ도 구라인거 뻔아는데 ㅉㅉ 이건마치 군대안가본사람이 군대이야기 구라로 허황되게 지어낸거랑마찬가지임호송버스안에서는 교도관감시하에 있어서 호송줄에 묶인 죄수들끼리 대화금지다 더군다나 이재용같은 주요인물은 구치소안에서도독방에서 지내고 일반인시설구역과는 별도의 게이트에서 지낸다 즉 내부에서 서로 대화할수있는 구조가 아니다 구치소규정에따라 법원출정갈때포승줄 묶을때 일반죄수들끼리는 약간씩 대화는 가능해도 교도관 통제받기에 자유롭게못함 더군다나 이재용같은인물은 출정갈때 독립되서 호송하기에저이야기는 불가능함",./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75110,경험자 ㅇㅂ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75111,감동받고싶으면 읽어봐라 이미 내가 새벽에 ㅇㅂ보낸글이다,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75112,예외는 있다,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75113,예전에 구치소에서 배식담당 인가뭔가 하다가 이재용 하고 친해졌다고글올린 게이 있었는데그 게이 일거 같은 생각이,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75114,일단 이 글은 팩트가 아니다 내가 이재용 구속당시 실제 그 시기에 같은곳에 구속되어있었는데 일단 이재용은 독방만 모여있는 건물에 수용되어 있었다운동이나 외부 활동도 철저 개인 단독으로 실시했고 외부 타 수용자를 만날 수 있는 건덕지가 아예 차단되었있었다배식담당하는 담당 도우미라면 가능성은 있는 이야기지만 같이 호송버스에 탑승했다면 같은 미결수 수용자라는 이야긴데 도우미는 형의 집행이 시작되는 기결수용자만이가능하기때문에 호송버스에 같이 탑승했다는것은 기결수가 아닌 미결수 라는 이야기이므로 도우미도 앞뒤가 맞지않다고로 이 이야기는 그저 허무맹랑한 이야기에 불과하다ㅁㅈㅎ,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75115,넌 뭐 하다 감방 갔냐,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
75116,거짓말이라는 얘들아 찾아보니 사실인데위드조이 재단있고 불우가정에 후원중임httpwithjoyorkr,./data\일베_일간베스트게시물_댓글_최근12페이지.csv
