,악플여부
82002,1
80495,1
27700,0
89943,0
14508,0
94712,1
82693,1
59791,0
14280,1
77811,0
97012,0
4975,0
33377,0
47788,0
33616,0
63142,1
77329,0
24135,0
78990,1
40626,0
94236,1
20289,0
49819,1
66415,1
93217,1
26534,1
88376,1
53396,0
91410,0
94600,1
8121,0
59297,0
24354,0
11764,0
62585,0
56788,0
90545,1
51838,0
3433,0
46712,1
61604,0
75392,0
20061,0
71304,0
44491,0
8415,0
10015,1
24397,0
16376,0
70254,0
81197,1
32441,0
33897,0
46953,0
94788,1
50755,0
72176,0
59753,0
75677,1
7879,0
41519,1
52154,0
78653,0
63320,0
56247,0
85560,1
41712,1
12469,0
28325,0
79463,0
49444,0
6112,0
98977,1
36785,0
51490,1
22204,0
32978,0
89218,1
95086,0
22012,0
72916,0
94382,1
49545,1
43029,1
25960,0
26131,0
30181,0
30536,0
18734,0
50909,0
61797,0
7945,0
819,0
21735,0
71797,1
14354,0
66397,1
55833,0
36971,1
23753,0
65976,1
53894,0
67643,1
95570,1
74282,0
30820,0
14385,0
45921,0
31854,0
97127,1
54275,0
37695,0
39616,0
72543,0
51555,0
21564,0
557,0
84531,1
64046,0
64353,1
24298,0
12968,0
18198,0
27757,0
26237,0
98414,0
62055,1
89581,1
88374,1
8564,0
99117,0
75786,0
37279,0
43377,0
90399,0
61112,1
19467,1
25430,0
22649,0
10777,0
96570,1
9526,0
51268,1
79673,0
57253,0
71380,0
65504,1
13064,0
45949,0
59211,0
88814,1
82781,1
55673,0
85416,1
92387,1
34521,0
53577,0
54882,0
95159,0
59865,1
77183,0
23026,0
40797,0
3811,0
53305,0
71055,0
24596,0
41683,1
16374,0
98144,1
20043,0
78890,0
50895,0
70016,0
65623,0
46075,0
56040,0
97867,1
32536,0
3836,0
85918,1
49958,0
78180,0
17637,0
46724,0
54138,1
61325,1
5040,0
85108,1
3044,0
50962,1
7415,0
33516,0
14934,0
16539,0
9197,0
60653,0
80571,0
27669,0
92329,1
77211,0
4532,0
64359,1
93636,0
79680,0
42199,0
68891,0
83941,1
94430,1
25876,0
37135,0
83022,1
38214,0
14990,0
20887,0
45416,0
16890,0
77086,0
16733,0
66748,1
12284,0
23943,0
52939,1
89701,1
66332,0
84523,1
95170,0
99183,0
21504,0
51055,0
18585,0
71768,0
70530,0
14296,0
42457,0
84590,1
7824,0
67425,1
69992,0
31652,0
16099,0
27366,0
95673,0
70407,1
95312,1
39663,0
24014,0
64211,0
78912,0
58241,0
90455,1
65920,0
38630,0
31568,0
8128,0
95904,1
26369,0
66553,1
42516,0
28941,0
26873,0
11656,0
10207,0
46666,0
4760,0
39757,1
86960,1
56074,0
51014,0
53225,0
48710,0
30505,0
79275,0
15591,0
65267,0
42942,0
83231,1
59747,0
83524,1
72169,0
76733,0
55521,0
56675,0
72899,1
69767,0
6996,0
65672,1
40634,0
88738,1
75799,0
55620,0
43327,0
58356,0
2537,0
85359,1
63804,0
42952,0
98553,0
